timestamp,device_name,min,max,avg,bin_count
2026-06-27T15:16:18.163+00:00,Wi-Spy DBx USB 2417295654,-118,-32,-97.68,285
2026-06-27T15:16:18.730+00:00,Wi-Spy DBx USB 2417295654,-117,-54,-99.04,285
2026-06-27T15:16:19.274+00:00,Wi-Spy DBx USB 2417295654,-117,-43,-98.54,285
2026-06-27T15:16:19.828+00:00,Wi-Spy DBx USB 2417295654,-118,-42,-98.38,285
2026-06-27T15:16:20.403+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-98.17,285
2026-06-27T15:16:20.958+00:00,Wi-Spy DBx USB 2417295654,-118,-43,-97.85,285
2026-06-27T15:16:21.532+00:00,Wi-Spy DBx USB 2417295654,-118,-36,-97.3,285
2026-06-27T15:16:22.662+00:00,Wi-Spy DBx USB 2417295654,-118,-32,-97.35,285
2026-06-27T15:16:23.213+00:00,Wi-Spy DBx USB 2417295654,-116,-50,-98.44,285
2026-06-27T15:16:23.783+00:00,Wi-Spy DBx USB 2417295654,-118,-34,-98.04,285
2026-06-27T15:16:24.892+00:00,Wi-Spy DBx USB 2417295654,-118,-36,-98.48,285
2026-06-27T15:16:25.466+00:00,Wi-Spy DBx USB 2417295654,-118,-46,-99.5,285
2026-06-27T15:16:26.197+00:00,Wi-Spy DBx USB 2417295654,-118,-33,-96.38,285
2026-06-27T15:16:26.562+00:00,Wi-Spy DBx USB 2417295654,-118,-29,-91.52,285
2026-06-27T15:16:27.361+00:00,Wi-Spy DBx USB 2417295654,-116,-33,-95.16,285
2026-06-27T15:16:28.441+00:00,Wi-Spy DBx USB 2417295654,-117,-38,-95.39,285
2026-06-27T15:16:29.078+00:00,Wi-Spy DBx USB 2417295654,-118,-38,-97.5,285
2026-06-27T15:16:29.717+00:00,Wi-Spy DBx USB 2417295654,-118,-31,-97.55,285
2026-06-27T15:16:30.353+00:00,Wi-Spy DBx USB 2417295654,-116,-51,-98.47,285
2026-06-27T15:16:31.155+00:00,Wi-Spy DBx USB 2417295654,-118,-43,-97.41,285
2026-06-27T15:16:31.716+00:00,Wi-Spy DBx USB 2417295654,-117,-39,-98.94,285
2026-06-27T15:16:32.324+00:00,Wi-Spy DBx USB 2417295654,-118,-32,-90.82,285
2026-06-27T15:16:32.878+00:00,Wi-Spy DBx USB 2417295654,-118,-44,-93.02,285
2026-06-27T15:16:33.599+00:00,Wi-Spy DBx USB 2417295654,-118,-37,-98.16,285
2026-06-27T15:16:34.044+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-98.89,285
2026-06-27T15:16:34.666+00:00,Wi-Spy DBx USB 2417295654,-118,-45,-98.95,285
2026-06-27T15:16:35.498+00:00,Wi-Spy DBx USB 2417295654,-119,-35,-98.24,285
2026-06-27T15:16:35.841+00:00,Wi-Spy DBx USB 2417295654,-117,-37,-97.03,285
2026-06-27T15:16:36.462+00:00,Wi-Spy DBx USB 2417295654,-117,-55,-99.38,285
2026-06-27T15:16:37.389+00:00,Wi-Spy DBx USB 2417295654,-118,-37,-99.19,285
2026-06-27T15:16:37.636+00:00,Wi-Spy DBx USB 2417295654,-119,-42,-100.02,285
2026-06-27T15:16:38.247+00:00,Wi-Spy DBx USB 2417295654,-117,-42,-98.89,285
2026-06-27T15:16:38.892+00:00,Wi-Spy DBx USB 2417295654,-118,-43,-98.35,285
2026-06-27T15:16:39.506+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-99.05,285
2026-06-27T15:16:40.147+00:00,Wi-Spy DBx USB 2417295654,-119,-46,-99.35,285
2026-06-27T15:16:40.452+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-95.19,285
2026-06-27T15:16:41.003+00:00,Wi-Spy DBx USB 2417295654,-118,-39,-98.69,285
2026-06-27T15:16:41.634+00:00,Wi-Spy DBx USB 2417295654,-119,-46,-98.73,285
2026-06-27T15:16:42.349+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-98.01,285
2026-06-27T15:16:42.696+00:00,Wi-Spy DBx USB 2417295654,-118,-54,-99.2,285
2026-06-27T15:16:43.238+00:00,Wi-Spy DBx USB 2417295654,-119,-39,-98.13,285
2026-06-27T15:16:43.894+00:00,Wi-Spy DBx USB 2417295654,-109,-54,-98.75,285
2026-06-27T15:16:44.377+00:00,Wi-Spy DBx USB 2417295654,-118,-38,-98.81,285
2026-06-27T15:16:45.025+00:00,Wi-Spy DBx USB 2417295654,-118,-54,-98.01,285
2026-06-27T15:16:45.784+00:00,Wi-Spy DBx USB 2417295654,-117,-36,-92.34,285
2026-06-27T15:16:46.286+00:00,Wi-Spy DBx USB 2417295654,-108,-43,-97.44,285
2026-06-27T15:16:47.028+00:00,Wi-Spy DBx USB 2417295654,-118,-39,-98.79,285
2026-06-27T15:16:47.382+00:00,Wi-Spy DBx USB 2417295654,-116,-43,-99.05,285
2026-06-27T15:16:48.445+00:00,Wi-Spy DBx USB 2417295654,-119,-47,-99.37,285
2026-06-27T15:16:48.654+00:00,Wi-Spy DBx USB 2417295654,-108,-56,-98.82,285
